MD,INC,AZI,TVD,X-offset,Y-offset
0,0,0,0,0,0
89.3,0,0,89.3,0,0
142.1,2.31,323.48,142.09,-0.63,0.86
170.2,3.89,319.12,170.14,-1.59,2.03
197.9,5.86,315.6,197.74,-3.2,3.75
226,6.13,312.61,225.69,-5.31,5.79
254.6,3.83,310.67,254.18,-7.16,7.45
283.3,2.05,304.74,282.84,-8.3,8.37
311.8,0.99,293.31,311.33,-8.95,8.75
340.3,0.37,267.42,339.83,-9.27,8.85
368.9,0.18,232.27,368.43,-9.39,8.82
397.4,0.2,235.44,396.93,-9.47,8.76
426.1,0.48,218.07,425.63,-9.59,8.64
454.7,0.42,234.41,454.23,-9.75,8.48
482.9,0.43,235.03,482.43,-9.92,8.36
511.6,0.66,228.27,511.12,-10.13,8.19
540.2,1,246.67,539.72,-10.48,7.98
568.7,1.27,236.36,568.22,-10.97,7.71
597.5,1.66,228.66,597.01,-11.55,7.26
626.4,2.07,234.09,625.89,-12.29,6.67
654.9,2.65,216.12,654.37,-13.09,5.84
683.8,3.34,209.85,683.23,-13.91,4.57
712.3,3.93,207.28,711.67,-14.77,2.98
740.7,3.69,200.26,740.01,-15.53,1.26
768.3,3.81,194.93,767.55,-16.07,-0.46
797.9,4.53,196.55,797.07,-16.66,-2.53
826.3,5.31,197.85,825.36,-17.38,-4.86
854.9,5.56,197.51,853.84,-18.2,-7.44
883.5,5.37,200.51,882.31,-19.09,-10.01
911.9,5.48,204.5,910.58,-20.12,-12.49
940.5,6.14,208.76,939.03,-21.42,-15.08
969,6.56,210.45,967.36,-22.98,-17.82
997.4,6.8,208.58,995.56,-24.6,-20.69
1026,6.99,208.84,1023.96,-26.25,-23.7
1054.5,7.56,209.37,1052.23,-28.01,-26.85
1083.1,8.5,208.22,1080.55,-29.93,-30.36
1111.6,9.66,202.8,1108.69,-31.86,-34.42
1140,10.32,200.62,1136.66,-33.67,-38.99
1168.7,10.86,199.47,1164.87,-35.48,-43.95
1197.3,11.78,199.98,1192.91,-37.38,-49.23
1225.8,12.3,199.89,1220.79,-39.4,-54.82
1254.4,12.58,199.61,1248.72,-41.49,-60.62
1283.1,13.1,201.77,1276.7,-43.74,-66.59
1311.6,14.32,204.65,1304.39,-46.41,-72.79
1340.2,15.41,206.45,1332.03,-49.58,-79.41
1368.8,17.03,206.49,1359.49,-53.14,-86.56
1397.3,18.95,204.25,1386.59,-56.9,-94.51
1425.8,19.83,200.9,1413.48,-60.52,-103.25
1454.5,19.43,198.28,1440.51,-63.76,-112.33
1483,19.55,197.17,1467.38,-66.65,-121.39
1511.6,20.13,197.57,1494.28,-69.55,-130.65
1540.2,19.9,197.08,1521.15,-72.47,-139.99
1568.7,19.93,196.4,1547.95,-75.26,-149.29
1597.3,20.21,195.95,1574.81,-78,-158.72
1625.9,19.92,195.64,1601.68,-80.67,-168.16
1654.4,20.02,195.46,1628.46,-83.28,-177.54
1682.8,17.03,194.04,1655.39,-85.58,-186.26
1711.5,17.81,193.55,1682.77,-87.63,-194.6
1740.1,18.53,194.25,1709.95,-89.77,-203.26
1768.6,17.73,194.83,1737.03,-92,-211.84
1797,17.58,194.18,1764.09,-94.16,-220.18
