Depth,Deviation,Azimuth,TrueVertical Depth,X Offset,Y Offset
74.2,0,0,74.17,0,0
82.2,0.23,67.4,82.2,0.01,0.01
125,0.14,25.7,125,0.12,0.09
140,0.14,3.2,140,0.13,0.12
168.7,0.11,351.4,168.7,0.12,0.18
198.1,0.13,338.4,198.1,0.11,0.24
226.6,0.09,333.3,226.6,0.09,0.29
255.3,0.05,312.1,255.3,0.07,0.32
284.2,0.04,292.3,284.2,0.05,0.33
312.3,0.03,288.4,312.3,0.03,0.34
341,0.04,56.2,341,0.03,0.35
369.7,0.05,327.1,369.7,0.03,0.36
398.5,0.06,1.7,398.5,0.03,0.39
426.7,0.13,315,426.7,0.01,0.43
454.7,0.15,293.2,454.7,-0.05,0.46
483.8,0.17,302,483.8,-0.12,0.5
513.1,0.17,298.1,513.1,-0.2,0.54
542.2,0.17,318.5,542.2,-0.26,0.6
571.1,0.17,303.4,571.1,-0.33,0.65
599.8,0.13,273.6,599.8,-0.4,0.68
628.6,0.09,277.3,628.6,-0.45,0.68
656.8,0.1,243.7,656.8,-0.5,0.68
686,0.1,261.9,686,-0.54,0.66
715.5,0.14,261.9,715.5,-0.6,0.65
744.7,0.19,299.5,744.7,-0.68,0.67
773.7,0.17,304.1,773.7,-0.76,0.72
801.9,0.17,329.6,801.9,-0.82,0.78
830.8,0.19,331.6,830.8,-0.86,0.86
859.6,0.22,327.4,859.6,-0.91,0.95
887.9,0.18,6.9,887.9,-0.94,1.04
917.1,0.19,329,917.1,-0.96,1.12
946.5,0.17,311.1,946.5,-1.01,1.19
1004.3,0.24,90.8,1004.3,-0.96,1.25
1033,0.4,34.9,1033,-0.84,1.33
1062.5,0.29,326.5,1062.5,-0.82,1.48
1091.4,0.33,287.4,1091.4,-0.94,1.56
1120,0.24,225.5,1120,-1.06,1.54
1148.7,0.25,209,1148.69,-1.14,1.45
1177.6,0.3,200.6,1177.59,-1.19,1.32
1198,0.18,215.8,1197.99,-1.23,1.25
1206.7,0.13,230.6,1206.69,-1.25,1.23
1235.1,0.24,197.2,1235.09,-1.29,1.15
1264.4,0.2,222.9,1264.4,-1.34,1.05
1293.2,0.12,216.8,1293.19,-1.39,0.99
1321.6,0.14,233.3,1321.59,-1.44,0.95
1350.4,0.27,182.8,1350.39,-1.47,0.86
1368,0.24,185.4,1367.99,-1.48,0.78
1379.7,0.22,188,1379.69,-1.48,0.74
1408.3,0.2,169.9,1408.29,-1.48,0.63
1437.4,0.16,180.4,1437.39,-1.47,0.54
1438,0.16,180.4,1437.99,-1.47,0.54
1466.6,0.2,213,1466.59,-1.5,0.46
1495.1,0.16,193.5,1495.09,-1.54,0.38
1524.4,0.27,169.2,1524.39,-1.53,0.27
1526,0.27,169.2,1525.99,-1.53,0.26
1553.3,0.32,141.2,1553.29,-1.47,0.14
1582.1,0.48,120.5,1582.09,-1.32,0.02
1611.3,0.73,112,1611.29,-1.04,-0.12
1640.3,1.18,105.5,1640.29,-0.58,-0.26
1668.6,1.34,101.7,1668.58,0.02,-0.41
1696.7,1.45,106,1696.67,0.69,-0.57
1703,1.44,113.4,1702.97,0.84,-0.63
1733,1.56,117,1732.96,1.55,-0.96
1762,1.7,119.5,1761.95,2.27,-1.35
1791,1.92,120.5,1790.93,3.07,-1.81
1820,2.2,115.7,1819.91,3.99,-2.3
1849,2.21,113.5,1848.89,5,-2.77
1857,2.18,111.2,1856.89,5.28,-2.88
1869,2.13,107.5,1868.88,5.71,-3.03
1883,2.51,99,1882.87,6.26,-3.16
1914,2.53,93.9,1913.84,7.61,-3.31
1942,2.62,88.4,1941.81,8.87,-3.33
1943,2.58,93.5,1942.81,8.91,-3.34
2001,2.81,91.2,2000.74,11.64,-3.44
2028,2.9,90.7,2027.71,12.98,-3.47
2058,2.99,89.8,2057.67,14.52,-3.47
2115,3.2,92.5,2114.59,17.6,-3.54
2144,3.34,91.7,2143.54,19.25,-3.6
2172,3.49,72.6,2171.49,20.88,-3.37
2201,3.58,93,2200.44,22.63,-3.15
2229,3.7,90.7,2228.38,24.41,-3.21
2257,3.87,91.8,2256.32,26.25,-3.25
2287,3.91,92.9,2286.25,28.29,-3.33
2316,4.13,97.1,2315.18,30.31,-3.51
2345,4.29,98.6,2344.1,32.42,-3.8
2373,4.41,99.3,2372.02,34.52,-4.13
2402,4.7,104,2400.93,36.77,-4.6
2431,4.65,105.2,2429.83,39.06,-5.2
2460,4.73,105.8,2458.74,41.34,-5.83
2519,4.97,109.3,2517.52,46.09,-7.34
2578,5.01,111.2,2576.3,50.91,-9.12
2636,5.07,114.4,2634.08,55.6,-11.09
2662,5.04,114.8,2659.98,57.68,-12.05
2691,5.03,116.3,2688.86,59.98,-13.14
2720,5.05,115.8,2717.75,62.27,-14.26
2749,5.08,117.3,2746.64,64.56,-15.41
2778,5.21,116.5,2775.52,66.88,-16.58
2807,5.15,116.7,2804.4,69.22,-17.75
2836,5.22,116.2,2833.28,71.57,-18.92
2865,5.09,116.8,2862.17,73.9,-20.08
2923,5.24,116.3,2919.93,78.57,-22.42
2952,5.26,116.7,2948.81,80.95,-23.6
2981,5.2,116.1,2977.69,83.31,-24.78
3009,5.3,114,3005.57,85.63,-25.86
3038,5.52,114.1,3034.44,88.13,-26.97
3067,5.47,113.2,3063.31,90.68,-28.09
3096,5.52,112.9,3092.18,93.23,-29.17
3124,5.6,110.8,3120.04,95.75,-30.18
3155,5.66,109.8,3150.89,98.6,-31.24
3182,5.82,109.8,3177.76,101.14,-32.15
3211,5.71,109.3,3206.61,103.89,-33.13
3269,5.69,107.8,3264.32,109.35,-34.96
3298,5.72,105.7,3293.18,112.11,-35.79
3327,5.72,105.4,3322.04,114.89,-36.56
3356,5.69,105.4,3350.89,117.67,-37.33
3385,5.6,105.1,3379.75,120.42,-38.08
